titleId,titleType,originalTitle,runtimeMinutes,averageRating
tt0247911,movie,Aap Mujhe Achche Lagne Lage,180,5.1
tt0284811,movie,Aarzoo,175,6
tt0149573,movie,Aashiqui,152,6
tt0402014,movie,Ab Tak Chhappan,129,6
tt0267248,movie,Abandon,99,7.2
tt0041084,movie,Abandoned,79,7.2
tt0048585,movie,Gli sbandati,102,7.2
tt0264100,movie,TorzÃ³k,100,5.2
tt10820876,movie,Abandoned,76,5.2
tt2738088,tvSeries,Abandoned,22,5.2
tt4519006,movie,Abandoned,86,2.6
tt6150820,tvSeries,Abandoned,60,2.6
tt0168446,movie,Aberdeen,113,2.6
tt3429014,movie,Heung Gong zai,97,3.5
tt8648232,movie,Aberdeen,88,3.5
tt0069671,movie,Abhimaan,122,3.5
tt0075621,movie,Abhimaan,146,7.9
tt0090580,movie,Abhimaan,153,5
tt8682052,movie,Abhimaan,132,7.7
tt0217979,movie,Ablaze,97,7
tt14813560,movie,Ablaze,81,7.2
tt0199314,movie,About Adam,97,7.9
tt0257360,movie,About Schmidt,125,7
tt0276751,movie,About a Boy,101,6.8
tt2666270,tvSeries,About a Boy,22,7.4
tt2381079,movie,Above All Else: The Everest Dream,49,8.6
tt0035605,movie,Above Suspicion,90,7.3
tt0109034,movie,Above Suspicion,95,8.2
tt0219469,movie,Above Suspicion,92,6.5
tt1247637,tvSeries,Above Suspicion,46,6.5
tt5688068,movie,Above Suspicion,104,3.9
tt0094602,movie,Above the Law,99,5.8
tt0109035,movie,Above the Rim,96,8.2
tt0081974,movie,Absence of Malice,116,8
tt0300902,movie,Absolon,96,9
tt0090585,movie,Absolute Beginners,108,5.9
tt0118548,movie,Absolute Power,121,7.1
tt0386149,tvSeries,Absolute Power,29,7.9
tt0081975,movie,Absolution,95,6.6
tt3442634,movie,Henkesi edestÃ¤,92,8.3
tt3503840,movie,Absolution,96,6.6
tt0380164,movie,Akasia,103,5.9
tt1517146,movie,Acacia,100,6.1
tt0272440,movie,According to Spencer,94,5.7
tt0109040,movie,Ace Ventura: Pet Detective,86,5.1
tt0115084,tvSeries,Ace Ventura: Pet Detective,30,7.5
tt0112281,movie,Ace Ventura: When Nature Calls,90,6.9
tt0068168,movie,Across 110th Street,102,5.6
tt0109042,movie,Across the Moon,88,6.9
tt0101268,movie,Across the Tracks,100,5.5
tt0144080,movie,Act of War,94,4.7
tt0094612,movie,Action Jackson,96,7.6
tt0403935,movie,Action Jackson,144,7
tt0357414,movie,Adam & Evil,90,9.6
tt0013817,movie,Adam's Rib,102,7.6
